CountryCode,CurrencyExchangeValue
vef,160458203244
irr,31700.64906
vnd,17078.35407
std,15531.76537
byr,14707.8404
idr,10670.20053
sll,8089.312233
uzs,8025.528445
lak,7695.352219
gnf,7160.694005
zmk,6754.504219
pyg,5193.516572
aed,4542.3456
aud,4542.3456
cop,4542.3456
inr,4542.3456
mga,4542.3456
khr,3054.128224
ugx,2665.706216
mnt,2139.333764
tzs,1725.920293
cdf,1509.805191
bif,1501.550441
mmk,1354.233567
lbp,1143.368153
iqd,1095.58403
syp,943.231833
krw,879.551218
rwf,750.400021
kpw,675.359794
mwk,612.326747
clp,604.322929
crc,472.392002
aoa,447.988788
sos,439.734352
xaf,424.468064
xof,423.599288
amd,357.87567
sdg,330.549381
kzt,320.327533
kmf,318.282372
ngn,307.866376
mro,267.892678
zwl,241.628501
huf,235.017733
yer,187.787658
gyd,156.965738
lkr,151.1789
djf,133.361266
pkr,130.645267
jmd,115.766519
lrd,113.59179
dzd,103.099707
isk,97.041624
npr,90.094335
jpy,85.391041
vuv,84.267245
kes,83.406838
all,79.148454
xpf,77.478732
rsd,76.098982
htg,75.402702
ars,74.783816
cve,71.514086
afn,68.248868
bdt,64.241675
kgs,63.62574
btn,56.309072
rub,53.009456
mzn,47.898274
dop,42.359927
mkd,39.857069
gmd,39.021128
php,38.090077
etb,35.341511
uyu,32.775341
mur,32.604992
nio,26.432838
thb,24.996064
twd,20.841011
cup,19.885601
uah,19.792618
hnl,18.140927
czk,16.641243
srd,16.048431
mxn,15.239161
mdl,13.148445
zmw,12.923274
egp,11.789088
mvr,11.630693
lsl,11.316077
nad,11.315896
szl,11.315742
zar,11.309902
ern,11.25693
scr,11.214435
bwp,8.501658
tjs,8.436827
trx,8.166555
try,7.13548
mad,6.810253
svc,6.564775
sek,6.444211
nok,6.320606
sbd,6.022507
mop,6.011056
hkd,5.837099
gtq,5.806265
bob,5.173068
ttd,5.092526
hrk,4.861318
dkk,4.812842
cny,4.79708
ghs,4.558664
brl,4.154515
lyd,3.414494
ron,3.201506
doge,3.126602
myr,3.117536
pln,2.989526
pen,2.984718
sar,2.814535
qar,2.732176
pgk,2.648972
tmt,2.630152
ils,2.394074
gel,2.363756
xlm,2.251406
ltl,2.215736
tnd,2.117619
xcd,2.027993
wst,1.933775
byn,1.818012
top,1.678983
fjd,1.55235
bbd,1.514848
bzd,1.512325
ang,1.352169
awg,1.351132
azn,1.277316
bam,1.265607
bgn,1.264908
nzd,1.04736
shp,1.033597
bnd,1.012574
sgd,1.012109
cad,0.927903
bmd,0.7504
cuc,0.7504
usd,0.7504
bsd,0.750242
pab,0.750242
xrp,0.747194
usdt,0.746034
chf,0.689047
eur,0.646833
kyd,0.625223
fkp,0.55021
ggp,0.55021
gip,0.55021
imp,0.55021
jep,0.55021
gbp,0.546419
jod,0.532047
xdr,0.530296
lvl,0.45391
ada,0.386305
omr,0.288897
bhd,0.2829
kwd,0.226328
theta,0.121027
xag,0.031212
link,0.025636
clf,0.021903
etc,0.01503
ltc,0.004128
bnb,0.001656
bch,0.001353
xau,0.000418
eth,0.00019
btc,1.30E-05